item_id,restaurant_id,item_name,item_category,item_price,available_quantity
199,22,Fresh Juice,Drinks,3.43,79
200,22,Smoothie,Drinks,2.1,14
201,22,Libanais,Fast Food,12.2,66
202,22,Pepperoni Pizza,Casual,23.46,93
203,23,BBQ Chicken Pizza,Casual,28.86,84
204,23,Chocolate Cake,Dessert,7.3,63
205,23,Fresh Juice,Drinks,3.96,39
206,23,Fresh Juice,Drinks,4.96,15
207,23,Iced Tea,Drinks,,27
208,23,Veggie Burger,Fast Food,12.12,80
209,23,Cheese Burger,Fast Food,12.58,83
210,23,Lemonade,Drinks,4.57,38
211,23,Iced Tea,Drinks,3.2,66
212,23,Veggie Pizza,Casual,22.55,58
213,24,Lemonade,Drinks,,91
214,24,Classic Burger,Fast Food,11.59,51
215,24,Smoothie,Drinks,7.08,85
216,24,Lemonade,Drinks,3.91,60
217,24,Iced Tea,Drinks,2.46,42
218,24,Libanais,Fast Food,9.26,80
219,24,Iced Tea,Drinks,2.3,55
220,24,Fresh Juice,Drinks,2.96,37
221,24,Chicken Burger,Fast Food,13.01,64
222,24,Iced Tea,Drinks,7.91,75
223,25,Libanais,Fast Food,8.06,21
224,25,Fruit Tart,Dessert,6.58,69
225,25,Classic Burger,Fast Food,,84
226,25,Classic Burger,Fast Food,10.19,50
227,25,Fruit Tart,Dessert,8.79,39
228,26,Fruit Tart,Dessert,9.22,83
229,26,Margherita Pizza,Casual,19.14,36
230,26,Kebab,Fast Food,10.75,73
231,26,Kebab,Fast Food,6.09,11
232,26,Ice Cream Sundae,Dessert,8.3,91
233,26,Cheesecake,Dessert,5.34,21
234,26,Veggie Burger,Fast Food,11.01,11
235,26,Cheesecake,Dessert,6.41,33
236,26,Fruit Tart,Dessert,8.69,85
237,26,Veggie Burger,Fast Food,6.4,81
238,26,Lemonade,Drinks,4.34,65
239,26,Chawarma,Fast Food,13.42,77
240,26,Chocolate Cake,Dessert,8.91,49
241,26,Veggie Burger,Fast Food,13.18,70
242,26,BBQ Chicken Pizza,Casual,25.04,93
243,27,Kebab,Fast Food,6.97,40
244,27,Pepperoni Pizza,Casual,28.09,67
245,27,Chicken Burger,Fast Food,8.82,75
246,27,Margherita Pizza,Casual,20.22,49
247,27,Kebab,Fast Food,7.22,23
248,27,Tacos,Fast Food,5.56,66
249,27,Lemonade,Drinks,4.96,85
250,27,Pepperoni Pizza,Casual,28.12,17
251,28,Smoothie,Drinks,3.62,55
252,28,Pepperoni Pizza,Casual,15.19,63
253,28,Chawarma,Fast Food,10.3,24
254,28,Veggie Pizza,Casual,22.08,32
255,28,Smoothie,Drinks,7.28,18
256,28,BBQ Chicken Pizza,Casual,27.62,71
257,28,Ice Cream Sundae,Dessert,8.73,50
258,29,Smoothie,Drinks,4.13,48
259,29,Cheesecake,Dessert,6.62,63
260,29,Cheese Burger,Fast Food,8.65,23
261,29,Cheese Burger,Fast Food,9.33,41
262,29,Veggie Pizza,Casual,21.9,46
263,29,Lemonade,Drinks,5.89,17
264,29,Fresh Juice,Drinks,5.27,74
265,29,Margherita Pizza,Casual,18.35,65
266,30,Chicken Burger,Fast Food,8.2,64
267,30,Veggie Burger,Fast Food,7.99,54
268,30,Iced Tea,Drinks,7.12,79
269,30,Pepperoni Pizza,Casual,29.57,56
270,30,Veggie Pizza,Casual,21.78,53
271,30,Libanais,Fast Food,13.74,70
272,30,BBQ Chicken Pizza,Casual,23.16,91
273,30,Pepperoni Pizza,Casual,29.93,28
274,30,Fresh Juice,Drinks,5.99,95
275,30,Iced Tea,Drinks,6.13,90
276,31,Smoothie,Drinks,6.34,33
277,31,BBQ Chicken Pizza,Casual,,97
278,31,Ice Cream Sundae,Dessert,8.79,98
279,31,BBQ Chicken Pizza,Casual,23.56,34
280,31,Chicken Burger,Fast Food,10.72,45
281,31,Chicken Burger,Fast Food,12.02,27
282,31,Chawarma,Fast Food,7.41,84
283,31,Chocolate Cake,Dessert,6.8,53
284,31,Ice Cream Sundae,Dessert,7.7,31
285,31,Cheesecake,Dessert,8.83,16
286,31,Veggie Pizza,Casual,15.42,30
287,32,BBQ Chicken Pizza,Casual,19.9,48
288,32,Makloub,Fast Food,10.8,79
289,32,Smoothie,Drinks,4.56,74
290,32,Iced Tea,Drinks,2.89,56
291,32,Kebab,Fast Food,13.5,62
292,32,Fruit Tart,Dessert,8.13,48
293,32,Lemonade,Drinks,6.08,78
294,32,Pepperoni Pizza,Casual,,31
295,32,Fruit Tart,Dessert,7.99,93
296,32,Fruit Tart,Dessert,9.38,37
297,32,Iced Tea,Drinks,3.21,12
298,32,Fruit Tart,Dessert,,70
299,32,BBQ Chicken Pizza,Casual,17.28,11
300,33,BBQ Chicken Pizza,Casual,15.74,46
301,33,Smoothie,Drinks,5.79,65
302,33,Veggie Pizza,Casual,25.61,97
303,33,Veggie Burger,Fast Food,5.61,98
304,33,Chawarma,Fast Food,12.69,65
305,33,Pepperoni Pizza,Casual,20.44,50
306,33,Chocolate Cake,Dessert,5.01,91
307,33,Fruit Tart,Dessert,9.63,58
308,34,Veggie Pizza,Casual,27.56,91
309,34,Kebab,Fast Food,9.27,14
310,34,Lemonade,Drinks,6.44,17
311,34,BBQ Chicken Pizza,Casual,19.44,85
312,34,Cheese Burger,Fast Food,11.12,52
313,34,Margherita Pizza,Casual,25.79,27
314,34,Ice Cream Sundae,Dessert,5.12,59
315,35,Smoothie,Drinks,4.82,38
316,35,Margherita Pizza,Casual,15.84,32
317,35,Cheesecake,Dessert,8.87,83
318,35,Veggie Pizza,Casual,18.81,11
319,35,Fresh Juice,Drinks,5.85,11
320,35,Iced Tea,Drinks,4.25,31
321,35,Margherita Pizza,Casual,24.58,13
322,35,Lemonade,Drinks,3.52,53
323,35,Pepperoni Pizza,Casual,26.64,73
324,35,Makloub,Fast Food,12.6,55
325,35,Chocolate Cake,Dessert,9.6,80
326,35,Veggie Pizza,Casual,23.68,30
327,35,Chicken Burger,Fast Food,11.71,80
328,35,Libanais,Fast Food,6.81,75
329,35,Cheesecake,Dessert,7.2,60
330,36,Cheese Burger,Fast Food,6.58,87
331,36,Iced Tea,Drinks,2.27,51
332,36,Tacos,Fast Food,14.87,27
333,36,Chocolate Cake,Dessert,8.0,40
334,36,Veggie Burger,Fast Food,11.88,31
335,36,Chocolate Cake,Dessert,5.84,42
336,36,Iced Tea,Drinks,3.44,39
337,36,Ice Cream Sundae,Dessert,,96
338,36,BBQ Chicken Pizza,Casual,20.32,36
339,36,Cheesecake,Dessert,7.81,55
340,36,Veggie Burger,Fast Food,5.26,62
341,36,Chocolate Cake,Dessert,7.06,41
342,36,Margherita Pizza,Casual,27.18,52
343,37,Fruit Tart,Dessert,6.67,13
344,37,Chocolate Cake,Dessert,9.56,69
345,37,Iced Tea,Drinks,5.69,71
346,37,Ice Cream Sundae,Dessert,7.86,39
347,37,Cheese Burger,Fast Food,9.84,42
348,38,Veggie Burger,Fast Food,8.57,77
349,38,Fruit Tart,Dessert,9.67,36
350,38,Smoothie,Drinks,5.59,61
351,38,Fresh Juice,Drinks,3.31,58
352,38,Makloub,Fast Food,12.95,43
353,39,Margherita Pizza,Casual,23.15,34
354,39,Iced Tea,Drinks,2.92,26
355,39,Chocolate Cake,Dessert,7.9,56
356,39,Chawarma,Fast Food,,60
357,39,Fruit Tart,Dessert,6.87,98
358,39,Lemonade,Drinks,7.68,16
359,40,Chawarma,Fast Food,9.7,18
360,40,Smoothie,Drinks,7.01,80
361,40,Veggie Burger,Fast Food,9.87,44
362,40,Pepperoni Pizza,Casual,18.3,36
363,40,Cheesecake,Dessert,5.68,99
364,40,Fresh Juice,Drinks,5.22,54
365,40,Pepperoni Pizza,Casual,23.38,69
366,40,Veggie Pizza,Casual,15.45,20
367,41,Smoothie,Drinks,3.97,72
368,41,BBQ Chicken Pizza,Casual,15.55,85
369,41,Chawarma,Fast Food,5.68,49
370,41,Fruit Tart,Dessert,6.68,71
371,41,Iced Tea,Drinks,2.56,14
372,41,Veggie Pizza,Casual,,70
373,41,BBQ Chicken Pizza,Casual,27.73,84
374,41,Classic Burger,Fast Food,12.46,47
375,41,Tacos,Fast Food,8.14,89
376,42,Cheesecake,Dessert,,30
377,42,Kebab,Fast Food,10.06,94
378,42,Fresh Juice,Drinks,4.55,83
379,42,Chawarma,Fast Food,9.63,39
380,42,Iced Tea,Drinks,2.42,14
381,42,Ice Cream Sundae,Dessert,7.78,63
382,42,Fresh Juice,Drinks,4.31,71
383,42,Margherita Pizza,Casual,17.15,85
384,42,Chicken Burger,Fast Food,12.58,89
385,42,Cheesecake,Dessert,9.78,84
386,42,Chawarma,Fast Food,,77
387,42,Chocolate Cake,Dessert,6.74,81
388,42,Ice Cream Sundae,Dessert,8.57,17
389,42,Cheesecake,Dessert,7.08,25
390,42,Ice Cream Sundae,Dessert,9.85,12
391,43,Chawarma,Fast Food,13.35,42
392,43,Makloub,Fast Food,5.02,17
393,43,Chocolate Cake,Dessert,6.85,15
394,43,Pepperoni Pizza,Casual,29.92,16
395,43,Smoothie,Drinks,2.24,87
396,43,Iced Tea,Drinks,5.14,30
397,43,Veggie Pizza,Casual,19.58,68
398,43,Veggie Pizza,Casual,23.83,72
399,43,Veggie Pizza,Casual,27.79,86
400,43,Iced Tea,Drinks,4.45,51
401,43,Fruit Tart,Dessert,6.83,69
402,43,BBQ Chicken Pizza,Casual,28.65,99
403,44,Pepperoni Pizza,Casual,25.71,17
404,44,Lemonade,Drinks,5.35,34
405,44,Fresh Juice,Drinks,2.64,47
406,44,Margherita Pizza,Casual,29.45,30
407,44,Fruit Tart,Dessert,5.29,47
408,44,Veggie Burger,Fast Food,9.09,60
409,44,Lemonade,Drinks,4.88,10
410,44,Fresh Juice,Drinks,7.29,83
411,44,Fresh Juice,Drinks,3.28,51
412,44,Chawarma,Fast Food,12.61,32
413,45,Margherita Pizza,Casual,18.16,80
414,45,Tacos,Fast Food,9.07,60
415,45,Pepperoni Pizza,Casual,21.58,28
416,45,Ice Cream Sundae,Dessert,5.36,91
417,45,Margherita Pizza,Casual,19.63,63
418,45,Fruit Tart,Dessert,7.09,46
419,45,Lemonade,Drinks,5.07,93
420,45,Veggie Burger,Fast Food,5.21,98
421,45,Libanais,Fast Food,12.03,14
422,45,BBQ Chicken Pizza,Casual,18.56,13
423,45,Iced Tea,Drinks,2.81,96
424,45,Chawarma,Fast Food,9.35,51
425,46,Libanais,Fast Food,11.35,45
426,46,Margherita Pizza,Casual,21.18,82
427,46,Cheesecake,Dessert,8.51,74
428,46,Fresh Juice,Drinks,5.99,56
429,46,Veggie Burger,Fast Food,10.19,52
430,46,Iced Tea,Drinks,3.34,66
431,46,Smoothie,Drinks,6.99,27
432,46,Fresh Juice,Drinks,2.18,11
433,46,Ice Cream Sundae,Dessert,5.04,30
434,47,Chocolate Cake,Dessert,7.66,44
435,47,Chocolate Cake,Dessert,5.95,96
436,47,Iced Tea,Drinks,3.91,60
437,47,BBQ Chicken Pizza,Casual,21.46,14
438,47,Iced Tea,Drinks,4.08,56
439,47,Tacos,Fast Food,14.51,67
440,47,Chocolate Cake,Dessert,6.0,76
441,47,Ice Cream Sundae,Dessert,9.18,32
442,47,Iced Tea,Drinks,7.21,52
443,47,Cheese Burger,Fast Food,9.93,98
444,47,Margherita Pizza,Casual,19.03,21
445,47,Smoothie,Drinks,2.46,29
446,47,Smoothie,Drinks,6.87,26
447,47,Fruit Tart,Dessert,,96
448,48,Classic Burger,Fast Food,10.28,23
449,48,BBQ Chicken Pizza,Casual,23.38,44
450,48,Kebab,Fast Food,14.67,42
451,48,BBQ Chicken Pizza,Casual,29.23,80
452,48,Chicken Burger,Fast Food,10.15,72
453,48,Margherita Pizza,Casual,22.82,12
454,48,Chocolate Cake,Dessert,8.27,75
455,48,Kebab,Fast Food,5.16,37
456,48,Chocolate Cake,Dessert,5.17,24
457,48,Libanais,Fast Food,14.49,38
458,48,Fruit Tart,Dessert,7.96,14
459,48,Margherita Pizza,Casual,29.99,22
460,48,Lemonade,Drinks,4.51,27
461,49,Chicken Burger,Fast Food,13.8,65
462,49,Lemonade,Drinks,2.87,24
463,49,Veggie Pizza,Casual,27.96,60
464,49,Margherita Pizza,Casual,27.13,89
465,49,Ice Cream Sundae,Dessert,9.24,59
466,49,Chicken Burger,Fast Food,,38
467,49,Makloub,Fast Food,8.69,97
468,49,Fruit Tart,Dessert,9.36,63
469,49,Smoothie,Drinks,7.16,75
470,49,Veggie Burger,Fast Food,,83
471,49,Chocolate Cake,Dessert,9.64,82
472,49,Smoothie,Drinks,4.39,55
473,49,Kebab,Fast Food,13.76,100
474,49,Cheesecake,Dessert,5.65,26
475,49,Margherita Pizza,Casual,17.22,44
476,50,Lemonade,Drinks,7.5,62
477,50,Veggie Burger,Fast Food,10.69,56
478,50,Smoothie,Drinks,4.38,74
479,50,Libanais,Fast Food,7.0,41
480,50,Chocolate Cake,Dessert,6.84,91
481,50,Cheesecake,Dessert,7.37,77
482,50,Chocolate Cake,Dessert,5.08,88
483,50,Smoothie,Drinks,3.18,57
484,50,Iced Tea,Drinks,4.61,30
485,50,Pepperoni Pizza,Casual,18.54,32
486,50,Smoothie,Drinks,3.53,78
487,50,Veggie Pizza,Casual,24.52,70
488,50,Chicken Burger,Fast Food,12.83,27
489,51,Cheese Burger,Fast Food,9.97,96
490,51,Chawarma,Fast Food,7.96,12
491,51,BBQ Chicken Pizza,Casual,23.57,44
492,51,Iced Tea,Drinks,6.0,45
493,51,Makloub,Fast Food,11.21,13
494,51,Pepperoni Pizza,Casual,26.04,25
495,51,Lemonade,Drinks,7.14,91
496,51,Chawarma,Fast Food,9.86,42
497,51,Lemonade,Drinks,2.81,16
498,51,Cheese Burger,Fast Food,5.62,10
499,51,Veggie Pizza,Casual,22.02,81
500,51,BBQ Chicken Pizza,Casual,,20
501,51,Lemonade,Drinks,6.72,54
502,52,Pepperoni Pizza,Casual,26.2,46
503,52,Pepperoni Pizza,Casual,23.87,88
504,52,Pepperoni Pizza,Casual,20.4,73
505,52,Lemonade,Drinks,4.74,42
506,52,Fruit Tart,Dessert,5.24,23
507,52,Cheesecake,Dessert,9.68,46
508,52,Fruit Tart,Dessert,6.14,58
509,52,Pepperoni Pizza,Casual,20.94,78
510,52,Smoothie,Drinks,6.7,95
511,52,Fruit Tart,Dessert,8.44,98
512,52,Veggie Pizza,Casual,26.87,49
513,52,Lemonade,Drinks,4.3,99
514,52,Pepperoni Pizza,Casual,18.62,92
515,52,Chicken Burger,Fast Food,14.34,49
516,52,Fresh Juice,Drinks,6.28,100
517,53,Smoothie,Drinks,7.92,92
518,53,Fresh Juice,Drinks,6.57,76
519,53,Iced Tea,Drinks,6.48,20
520,53,Veggie Pizza,Casual,19.36,91
521,53,Cheesecake,Dessert,5.32,81
522,53,Fruit Tart,Dessert,9.76,52
523,53,Cheese Burger,Fast Food,9.61,73
524,53,Lemonade,Drinks,6.05,74
525,53,Smoothie,Drinks,7.76,89
526,53,Lemonade,Drinks,6.25,80
527,53,Pepperoni Pizza,Casual,,80
528,53,Classic Burger,Fast Food,5.97,42
529,53,BBQ Chicken Pizza,Casual,23.94,60
530,53,Veggie Pizza,Casual,22.33,85
531,53,Chocolate Cake,Dessert,7.91,15
532,54,Lemonade,Drinks,6.18,95
533,54,Kebab,Fast Food,,43
534,54,Fruit Tart,Dessert,6.36,94
535,54,BBQ Chicken Pizza,Casual,28.5,47
536,54,Lemonade,Drinks,5.96,89
537,54,Cheesecake,Dessert,9.75,54
538,54,Tacos,Fast Food,9.65,52
539,54,Chicken Burger,Fast Food,13.65,42
540,54,Pepperoni Pizza,Casual,29.17,69
541,54,Fruit Tart,Dessert,7.49,37
542,54,Cheesecake,Dessert,9.16,52
543,54,Smoothie,Drinks,,95
544,54,Classic Burger,Fast Food,11.47,66
545,54,Makloub,Fast Food,,71
546,55,Margherita Pizza,Casual,21.19,94
547,55,Tacos,Fast Food,14.96,60
548,55,Lemonade,Drinks,3.64,29
549,55,Tacos,Fast Food,14.36,47
550,55,Veggie Pizza,Casual,22.51,41
551,55,Veggie Burger,Fast Food,12.57,59
552,56,Cheesecake,Dessert,6.63,67
553,56,Lemonade,Drinks,6.38,70
554,56,Classic Burger,Fast Food,6.76,98
555,56,Veggie Pizza,Casual,27.62,44
556,56,Fresh Juice,Drinks,4.27,43
557,56,BBQ Chicken Pizza,Casual,18.55,83
558,56,Iced Tea,Drinks,7.5,52
559,56,Smoothie,Drinks,5.48,14
560,56,Chocolate Cake,Dessert,9.18,60
561,56,Iced Tea,Drinks,2.37,60
562,56,BBQ Chicken Pizza,Casual,28.88,16
563,56,Chocolate Cake,Dessert,5.28,75
564,56,Fresh Juice,Drinks,7.04,74
565,56,Cheese Burger,Fast Food,11.54,35
566,57,BBQ Chicken Pizza,Casual,17.4,90
567,57,Veggie Pizza,Casual,23.16,66
568,57,Lemonade,Drinks,4.01,48
569,57,Tacos,Fast Food,6.82,85
570,57,Fresh Juice,Drinks,6.22,33
571,57,Fresh Juice,Drinks,,26
572,57,Pepperoni Pizza,Casual,27.38,37
573,57,BBQ Chicken Pizza,Casual,17.93,43
574,57,Fresh Juice,Drinks,3.5,79
575,57,Chocolate Cake,Dessert,7.41,98
576,57,Margherita Pizza,Casual,17.59,90
577,57,Chocolate Cake,Dessert,6.77,62
578,58,Lemonade,Drinks,7.44,53
579,58,Pepperoni Pizza,Casual,20.53,26
580,58,Fruit Tart,Dessert,9.35,65
581,58,Margherita Pizza,Casual,17.27,28
582,58,Pepperoni Pizza,Casual,20.35,28
583,58,Lemonade,Drinks,6.36,34
584,59,Smoothie,Drinks,2.94,77
585,59,Fruit Tart,Dessert,6.38,56
586,59,Chocolate Cake,Dessert,5.75,76
587,59,Margherita Pizza,Casual,28.85,25
588,59,Chocolate Cake,Dessert,5.25,79
589,59,Smoothie,Drinks,3.86,54
590,59,Libanais,Fast Food,11.51,50
591,59,Cheese Burger,Fast Food,,92
592,59,Lemonade,Drinks,6.82,43
593,59,Fruit Tart,Dessert,7.94,67
594,60,Lemonade,Drinks,4.3,91
595,60,Fruit Tart,Dessert,6.21,38
596,60,Veggie Pizza,Casual,21.64,83
597,60,Iced Tea,Drinks,4.88,28
598,60,BBQ Chicken Pizza,Casual,17.55,24
599,60,Libanais,Fast Food,,37
600,60,Smoothie,Drinks,7.32,73
601,60,Veggie Pizza,Casual,15.75,31
602,60,Makloub,Fast Food,,91
603,60,Makloub,Fast Food,12.52,13
604,60,Lemonade,Drinks,2.46,55
605,60,Lemonade,Drinks,7.82,58
606,60,Kebab,Fast Food,14.36,84
607,61,Tacos,Fast Food,9.85,39
608,61,Lemonade,Drinks,5.68,92
609,61,Fruit Tart,Dessert,7.53,86
610,61,Ice Cream Sundae,Dessert,6.22,90
